1, 1, 2, 5, 0
1, 1, 3, 5, 0
1, 4, 2, 5, 0
1, 4, 3, 5, 0
2, 1, 4, 5, 0
2, 1, 4, 3, 5
2, 2, 3, 5, 0
3, 1, 2, 3, 5
3, 4, 3, 5, 0
4, 1, 2, 3, 0
4, 1, 2, 4, 5
5, 1, 4, 3, 0
5, 1, 4, 5, 0
5, 2, 5, 0, 0
6, 1, 0, 0, 0
6, 2, 3, 0, 0
6, 2, 4, 5, 0
7, 1, 2, 4, 0
7, 3, 5, 0, 0
8, 1, 0, 0, 0
8, 2, 0, 0, 0
8, 3, 0, 0, 0
8, 4, 0, 0, 0
8, 5, 0, 0, 0
9, 1, 2, 5, 0
9, 1, 3, 5, 0
9, 1, 4, 5, 0
10, 1, 3, 5, 0
10, 2, 4, 5, 0
11, 1, 3, 0, 0
11, 1, 4, 0, 0
11, 2, 4, 0, 0
11, 2, 5, 0, 0
12, 1, 4, 5, 0
12, 2, 3, 0, 0
13, 1, 0, 0, 0
13, 2, 3, 4, 0
13, 5, 0, 0, 0
14, 1, 2, 0, 0
14, 3, 0, 0, 0
14, 4, 5, 0, 0
15, 1, 2, 0, 0
15, 3, 0, 0, 0
15, 4, 0, 0, 0
15, 5, 0, 0, 0
16, 1, 2, 0, 0
16, 1, 3, 0, 0
16, 1, 4, 0, 0
16, 1, 5, 0, 0
17, 1, 5, 0, 0
17, 2, 5, 0, 0
17, 3, 5, 0, 0
17, 4, 5, 0, 0
18, 1, 4, 5, 0
18, 2, 4, 5, 0
18, 3, 4, 5, 0
19, 1, 3, 0, 0
19, 2, 3, 0, 0
19, 5, 4, 0, 0
20, 1, 0, 0, 0
20, 2, 0, 0, 0
20, 3, 0, 0, 0
20, 4, 0, 0, 0
20, 5, 0, 0, 0